ID,Feature / Task,Phase,Category,Priority (P0-P3),Complexity (S/M/L),Est Hours,User Story / Description,Why It Matters (Sports Science / UX),Competitors Who Do This,Dreamy Differentiation Angle,Diff Score (1-10),Dependencies,Status,Strava API Needed,Notes
D-001,Fix PaceTrendChart formatting bug,1,Bug Fix,P0,S,0.1,Pace displays '8:352' instead of '8:05' — uses wrong variable in padStart(),Broken formatting destroys trust in data accuracy,All competitors display pace correctly,Table stakes fix,1,,TODO,No,File: PaceTrendChart.tsx line 27
D-002,Consolidate formatPace() — one function everywhere,1,Bug Fix,P0,S,0.5,4+ duplicate implementations with inconsistent behavior,Inconsistent pace display = inconsistent user experience,N/A — internal code quality,Foundation for reliable data display,2,,TODO,No,"Delete duplicates, import from utils.ts"
D-003,Consolidate VDOT calculation — one method everywhere,1,Bug Fix,P0,S,1,3 different VDOT implementations produce different results for same input,VDOT is the core fitness metric — must be trustworthy and consistent,"V.O2, Runalyze, COROS all have single canonical VDOT",Single source of truth for fitness estimation,3,,TODO,No,Use exponential method from vdot-calculator.ts
D-004,Fix schema mismatches (SQLite vs Postgres),1,Bug Fix,P0,S,1,"Strava IDs can exceed 32-bit, elevation loses precision, coachContext table missing in prod",Data loss in production is catastrophic,N/A,Data integrity,2,,TODO,No,
D-005,Fix elevation profile — show actual ups and downs,1,Bug Fix,P0,S,2,"Shows only cumulative gain, not terrain profile",Elevation profile is a basic expectation on every workout detail page,"Strava, Garmin, every tool shows proper elevation profile",Table stakes,1,,TODO,No,
D-006,Fix EnhancedSplits — pace format + header naming,1,Bug Fix,P0,S,0.5,"Pace shows '8:3.2762', header says 'Mile Splits' but data is watch laps",Splits are a core workout review feature,All competitors,Table stakes,1,D-002,TODO,No,
D-007,Fix runs-by-day chart invisible color,1,Bug Fix,P1,S,0.25,White on white background makes one data series invisible,Chart is unusable,N/A,,1,,TODO,No,
D-008,Fix goal calculator,1,Bug Fix,P1,S,1.5,Totally broken per user feedback,Goal setting is a core motivational feature,"Garmin, COROS, Strava all have goal tracking",Table stakes,2,,TODO,No,Needs investigation
D-009,Unified color system for all charts,1,Code Quality,P1,M,3,4 different color approaches across charts — inconsistent visual language,Consistent design builds professional credibility and trust,"Intervals.icu, Strava have consistent chart styling",Professional polish signals quality,3,,TODO,No,Migrate all to workout-colors.ts or CSS variables
D-010,Standardize time range selectors on all charts,1,Code Quality,P1,S,2,"Some charts have 1M/3M/6M/1Y, some are fixed at 12 weeks, some show all history",Inconsistent controls confuse users about what time period they're viewing,Intervals.icu has consistent selectors everywhere,,2,,TODO,No,
D-011,Chart design system — shared wrapper component,1,Code Quality,P1,M,4,"Create reusable chart component with loading states, empty states, responsive sizing, consistent tooltips",Design system reduces dev time for all future charts and ensures consistency,TrainingPeaks chart library approach,Speed of future chart development,4,,TODO,No,
D-012,VDOT display consistency — clarify Training vs Estimated,1,Code Quality,P1,M,3,"3 different VDOT storage locations, 3 different confidence calculations",Users need to trust the core fitness number — confusion kills trust,V.O2 has one canonical VDOT per athlete,Transparent confidence scoring,5,D-003,TODO,No,
D-013,Remove/gate 11 test/debug pages from production,1,Code Quality,P2,S,1,Test pages accessible in production — unprofessional,,N/A,Professional polish,1,,TODO,No,
D-014,Consolidate 10 Strava pages → 3,1,Code Quality,P2,S,2,10 Strava-related pages confuse routing and maintenance,,N/A,Code maintainability,1,,TODO,No,
D-015,"Delete dead code (5 files, 0 imports)",1,Code Quality,P2,S,0.5,"StravaManualConnect, strava-manual, strava-debug, /welcome, /race-predictor",,N/A,,1,,TODO,No,
D-016,Fix hardcoded profileId: 1 in coach-tools.ts,1,Code Quality,P2,S,0.5,CTL/ATL/TSB hardcoded to 0 — breaks multi-user support,,N/A,Multi-user readiness,2,,TODO,No,
D-017,Remove demo seed fallback secret,1,Code Quality,P2,S,0.1,Falls back to 'demo-seed-2024' if env var missing — security risk,,N/A,Security,3,,TODO,No,
D-018,Fix silent profile ID failures — add null checks + error messages,1,Code Quality,P2,S,1,Functions fail silently when profile ID is null,,N/A,Debuggability,2,,TODO,No,
D-019,Implement BestEfforts.tsx stub functions (4 functions),1,Feature Stub,P2,M,4,"getBestEfforts, getBestMileSplits, getPaceCurve, getWorkoutRanking all unimplemented",Best efforts / pace curve is a flagship analytics feature,"Strava, Garmin, Runalyze all show best efforts",Foundation for VDOT and PR tracking,5,,TODO,No,
D-020,Implement import page activity processing,1,Feature Stub,P2,M,3,Upload page exists but doesn't actually process or save activities,File import is critical for users migrating from other platforms,"Runalyze, Intervals.icu, Golden Cheetah all support file import",Data portability,4,,TODO,No,
D-021,Create missing database tables (3 tables),1,Schema,P2,S,2,"conversationSummaries, responseCache, workoutTemplates — all blocking features","These tables are prerequisites for coach memory, caching, and workout library",N/A,Unblocks Phase 2+4,3,,TODO,No,
D-022,Encrypt stored API tokens,1,Security,P2,M,3,Strava & Intervals.icu tokens stored as plaintext despite schema claiming encryption,Token exposure is a serious security and privacy risk,All production apps encrypt tokens,User trust / compliance,4,,TODO,No,
